iter	Logloss
0	0.6831622207
1	0.6726506551
2	0.6622773555
3	0.6509439569
4	0.6421890928
5	0.6320468836
6	0.6214880023
7	0.6127580342
8	0.6037309212
9	0.5947232163
10	0.5861670511
11	0.577354565
12	0.5703103584
13	0.5619737726
14	0.5536165405
15	0.5460412544
16	0.5385161283
17	0.5299767611
18	0.5241444906
19	0.5168049796
20	0.5098500837
21	0.5026021589
22	0.4963353475
23	0.4891673975
24	0.4827932726
25	0.4758472777
26	0.4680962144
27	0.4607923407
28	0.4541134751
29	0.4482629676
30	0.4434973064
31	0.4372266468
32	0.4325379489
33	0.4262848904
34	0.4190244842
35	0.4133050818
36	0.4072046447
37	0.4019365813
38	0.3960175765
39	0.3907944194
40	0.3860294944
41	0.3820256685
42	0.3770454139
43	0.3722730938
44	0.3677324329
45	0.3625711809
46	0.3584040592
47	0.3539170382
48	0.3492873342
49	0.3444866716
50	0.340236965
51	0.3357598823
52	0.3330137688
53	0.329643718
54	0.3266827098
55	0.3231249023
56	0.3199636225
57	0.3154762
58	0.3123795359
59	0.3082289445
60	0.3045057999
61	0.3012534694
62	0.2976336228
63	0.2947547645
64	0.2909756041
65	0.2875157741
66	0.284136722
67	0.2813526622
68	0.2789182496
69	0.2758738869
70	0.2726297044
71	0.2698641325
72	0.2671077461
73	0.2643516106
74	0.2613781712
75	0.2585100542
76	0.2559034783
77	0.2527522204
78	0.2498335253
79	0.2469246178
80	0.2444198341
81	0.2421315511
82	0.2398296825
83	0.2378132469
84	0.2355767133
85	0.2336706697
86	0.2315338034
87	0.2285647978
88	0.2260583576
89	0.2240188666
90	0.2220500143
91	0.2196382556
92	0.2179214076
93	0.2158944983
94	0.213705866
95	0.2117350562
96	0.2093706633
97	0.2075256214
98	0.2059024677
99	0.2042632354
100	0.202541619
101	0.2004991833
102	0.198908488
103	0.1970634293
104	0.1950524481
105	0.193284453
106	0.1912991373
107	0.189599422
108	0.1880020008
109	0.1869775203
110	0.1855755856
111	0.1842331635
112	0.1825444071
113	0.1810464859
114	0.1794798165
115	0.1782259356
116	0.1766712122
117	0.1754860125
118	0.1742822747
119	0.1727781128
120	0.1715250015
121	0.170143094
122	0.1686118276
123	0.1673515721
124	0.1662129185
125	0.1648210559
126	0.1634651485
127	0.1622032534
128	0.1609076952
129	0.1593896297
130	0.1579351258
131	0.1566901123
132	0.1553476902
133	0.1539173126
134	0.1532543919
135	0.1522523144
136	0.1511468385
137	0.1498560822
138	0.1488574848
139	0.1480705864
140	0.1471808584
141	0.1462152381
142	0.1450130228
143	0.143980043
144	0.1429199754
145	0.1418104004
146	0.1407879277
147	0.1399364137
148	0.1389600854
149	0.1380604526
150	0.1370346421
151	0.1360381779
152	0.1351493032
153	0.1341025955
154	0.1330657256
155	0.1324156627
156	0.1315898561
157	0.1305486361
158	0.1298654205
159	0.1290403835
160	0.1283333427
161	0.1276548704
162	0.1270000391
